
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,240 K
Registry                       104 Services                   0     38,980 K
smss.exe                       420 Services                   0      1,052 K
csrss.exe                      600 Services                   0      4,800 K
wininit.exe                    716 Services                   0      6,212 K
csrss.exe                      728 Console                    1      4,836 K
services.exe                   788 Services                   0      9,036 K
lsass.exe                      808 Services                   0     16,508 K
winlogon.exe                   864 Console                    1     10,808 K
svchost.exe                    984 Services                   0      3,344 K
fontdrvhost.exe               1016 Services                   0      2,092 K
fontdrvhost.exe                 84 Console                    1      6,540 K
svchost.exe                    524 Services                   0     29,156 K
svchost.exe                    732 Services                   0     14,260 K
svchost.exe                    604 Services                   0      7,288 K
dwm.exe                       1100 Console                    1     57,040 K
svchost.exe                   1244 Services                   0      9,888 K
svchost.exe                   1276 Services                   0      5,200 K
svchost.exe                   1292 Services                   0      7,760 K
svchost.exe                   1308 Services                   0     14,260 K
svchost.exe                   1444 Services                   0      7,776 K
svchost.exe                   1464 Services                   0     10,412 K
svchost.exe                   1528 Services                   0      6,208 K
svchost.exe                   1548 Services                   0     15,000 K
svchost.exe                   1664 Services                   0      9,144 K
svchost.exe                   1688 Services                   0      8,080 K
svchost.exe                   1772 Services                   0     12,896 K
svchost.exe                   1796 Services                   0      7,440 K
svchost.exe                   1804 Services                   0     10,264 K
ASCService.exe                1840 Services                   0     10,372 K
svchost.exe                   2020 Services                   0     17,916 K
svchost.exe                   2040 Services                   0      8,568 K
svchost.exe                   1064 Services                   0     12,712 K
atiesrxx.exe                  2172 Services                   0      5,768 K
svchost.exe                   2204 Services                   0      8,172 K
svchost.exe                   2296 Services                   0      9,636 K
svchost.exe                   2412 Services                   0      6,996 K
atieclxx.exe                  2500 Console                    1     11,524 K
svchost.exe                   2508 Services                   0      6,808 K
svchost.exe                   2516 Services                   0     85,352 K
svchost.exe                   2528 Services                   0      5,160 K
Memory Compression            2600 Services                   0    275,600 K
svchost.exe                   2616 Services                   0      7,592 K
svchost.exe                   2660 Services                   0      7,284 K
svchost.exe                   2668 Services                   0      7,712 K
svchost.exe                   2876 Services                   0     13,140 K
svchost.exe                   2964 Services                   0      5,980 K
svchost.exe                   2972 Services                   0      9,268 K
svchost.exe                   2632 Services                   0     17,972 K
svchost.exe                   2872 Services                   0     11,528 K
spoolsv.exe                   3140 Services                   0     11,664 K
svchost.exe                   3176 Services                   0     20,404 K
svchost.exe                   3216 Services                   0      6,972 K
AdminService.exe              3400 Services                   0      6,820 K
armsvc.exe                    3408 Services                   0      6,144 K
svchost.exe                   3420 Services                   0     12,688 K
CxAudMsg64.exe                3436 Services                   0      8,000 K
svchost.exe                   3452 Services                   0      6,496 K
svchost.exe                   3480 Services                   0     32,288 K
ETDService.exe                3504 Services                   0      4,856 K
svchost.exe                   3524 Services                   0     14,904 K
svchost.exe                   3572 Services                   0      7,172 K
SASrv.exe                     3612 Services                   0      5,736 K
svchost.exe                   3620 Services                   0      7,220 K
SU10Guard.exe                 3656 Services                   0      7,632 K
svchost.exe                   3664 Services                   0      5,332 K
svchost.exe                   3692 Services                   0      4,856 K
TunnelBear.Maintenance.ex     3740 Services                   0     26,124 K
svchost.exe                   3748 Services                   0      7,868 K
Updater.exe                   3756 Services                   0     15,340 K
MsMpEng.exe                   3800 Services                   0    168,156 K
zerotier-one_x64.exe          3808 Services                   0     12,068 K
svchost.exe                   3860 Services                   0     22,384 K
svchost.exe                   3876 Services                   0     11,848 K
dasHost.exe                   3908 Services                   0     11,032 K
svchost.exe                   4004 Services                   0      4,640 K
svchost.exe                   2860 Services                   0     10,880 K
svchost.exe                   4468 Services                   0      6,904 K
svchost.exe                   4644 Services                   0      6,492 K
svchost.exe                   4944 Services                   0      7,032 K
svchost.exe                   5008 Services                   0      8,048 K
svchost.exe                   2952 Services                   0     10,192 K
NisSrv.exe                    5456 Services                   0     13,972 K
svchost.exe                   5744 Services                   0      5,468 K
ETDCtrl.exe                   5928 Console                    1     23,424 K
svchost.exe                   5952 Services                   0     14,180 K
